unique_id	token_id	sentence	maincorpus	subcorpus	year
23	76	“ Vi svenskar kan sannerligen säga att demokratin / .. / ” “ / .. / omdaningen vi står inför / .. / ” “ Emun låter mycket , det vet vi , men den flyger ju inte så bra . ” Han kan betecknas som en god agitator ( eller så är hans talskrivare en god författare och psykolog då denne behärskar det politiska talets alla knep till fullo ) eftersom han använder sig av de flesta retoriska knep såsom identifikation , retoriska frågor , tempoväxlingar , metaforer samt omväxlande starka och svaga fraser : “ Visst är demokratin 1900-talets stora idé . ” “ Kraven är knivskarpa . ” Göran Persson använder sig i vissa stycken även av ett progressivt talande .	bloggmix	BLOGGMIX1999	1999
24	19	Även om 13 länder är väldigt mycket så kan man nog säga att dessa 13 skiljer sig lite från de övriga medlemsländerna .	bloggmix	BLOGGMIX1999	1999
25	9	Europeiska rådet är egentligen ingen formell institution , och de beslut man fatta där är inga egentliga beslut utan snarare hur man ska agera i framtiden .	bloggmix	BLOGGMIX1999	1999
26	30	Domstolen ska döma i tvister mellan : • Medlemsländerna • EU:s institutioner • EU:s institutioner och medlemsländerna • EU:s institutioner och företag eller enskilda personer En annan stor uppgift som de har är att hjälpa domstolar i medlemsländerna att tolka EG-rätten .	bloggmix	BLOGGMIX1999	1999
27	0	De ska ha stabila institutioner som kan garantera demokrati , rättssäkerhet , mänskliga rättigheter och skydd av minoriteter .	bloggmix	BLOGGMIX1999	1999
28	3	Industritillväxten började i de nordöstra delstaterna , där ett industribälte växte fram från Boston och Norfolk , Virginia , vid atlantkusten västerut till Saint Louis och Chicagoregionen .	bloggmix	BLOGGMIX1999	1999
29	4	Revisionsrätten Revisionsrätten ska granska de olika institutionernas räkenskaper .	bloggmix	BLOGGMIX1999	1999
30	7	När en ny kommission ska sammanställas väljer de olika medlemsländerna tillsammans en ny ordförande .	bloggmix	BLOGGMIX1999	1999
31	21	År 1990 var hela 12 länder medlemmar och då hände något riktigt radikalt med Europa … EU Sovjetväldet föll samman , de kommunistiska länderna i Central- Östeuropa började förändras , Warszawapakten upplöstes .	bloggmix	BLOGGMIX1999	1999
32	3	Man utgår från de kriterier som EU har sätt upp .	bloggmix	BLOGGMIX1999	1999
33	5	Dom ska också döma i de tvister som kan uppstå .	bloggmix	BLOGGMIX1999	1999
34	0	De två första etapperna De två första av det tre etapperna för EU:s utveckling jag nämnde förut innebär att man fritt kan placera och investera i företag och banker i andra länder , att samordningen mellan ländernas ekonomiska politik stärktes och att medlemsstaternas centralbanker gjordes självständiga .	bloggmix	BLOGGMIX1999	1999
35	4	De två första etapperna De två första av det tre etapperna för EU:s utveckling jag nämnde förut innebär att man fritt kan placera och investera i företag och banker i andra länder , att samordningen mellan ländernas ekonomiska politik stärktes och att medlemsstaternas centralbanker gjordes självständiga .	bloggmix	BLOGGMIX1999	1999
36	8	Ledamöterna i Europaparlamentet är direktvalda av folket i de olika medlemsländerna , de väljs genom allmänna och direkta val .	bloggmix	BLOGGMIX1999	1999
37	12	Ledamöterna i Europaparlamentet är direktvalda av folket i de olika medlemsländerna , de väljs genom allmänna och direkta val .	bloggmix	BLOGGMIX1999	1999
38	21	Kevin Mitnick slår till mot Digital Equipments i Palo Alto “ Digital Equipments ” i Palo Alto hade ett operativsystem som de kallade för “ Digital ’ s VMS minicomputer operating system ” .	bloggmix	BLOGGMIX1999	1999
39	0	De skall förbereda ministerrådets möten , tillsammans bildar de en kommitté som kallas Coreper .	bloggmix	BLOGGMIX1999	1999
40	8	De skall förbereda ministerrådets möten , tillsammans bildar de en kommitté som kallas Coreper .	bloggmix	BLOGGMIX1999	1999
41	0	De tre pelarna EU-samarbetet är uppbyggt som tre pelare .	bloggmix	BLOGGMIX1999	1999
42	11	Man gav den omdöpta unionen en ny uppbyggnad och man ökade de ämnen man skulle ägna sig åt .	bloggmix	BLOGGMIX1999	1999
43	20	Kevin David Mitnick går nu under jorden … Media fick polis och FBI att framstå som idioter och påstod att de inte var nån match för någon så brilliant och intelligent som “ Mr .	bloggmix	BLOGGMIX1999	1999
44	1	a de två största företagen , Johnson & Johnson och Merck .	bloggmix	BLOGGMIX1999	1999
45	0	De tio första av dessa är från Öst- och Central-europa .	bloggmix	BLOGGMIX1999	1999
46	22	Kraven för att delta ( konvergenskriterierna ) • Stabila priser : Inflationsnivån får inte vara mer än 1,5 procentenheter högre än i de medlemsländer som har lägst inflation .	bloggmix	BLOGGMIX1999	1999
47	11	Firman var vid bland 88 biltillverkare i USA och en av de få som från början gick med vinst .	bloggmix	BLOGGMIX1999	1999
48	14	Ordlista Petrokemisk industri – oljeindustrin BNP – Brutto National Produkt , sammanlagda värdet av de varor och tjänster för slutlig användning som produceras för marknaden och för den offentliga sektorn i ett land under en period , vanligen ett år .	bloggmix	BLOGGMIX1999	1999
49	11	Livsmedelsindustrin har både gett mat till USA , vilket gör att de inte behöver importera så mycket , de kan t.o.m. exportera mat till andra länder .	bloggmix	BLOGGMIX1999	1999
50	18	Livsmedelsindustrin har både gett mat till USA , vilket gör att de inte behöver importera så mycket , de kan t.o.m. exportera mat till andra länder .	bloggmix	BLOGGMIX1999	1999
51	0	De andra ville gå steget längre och började förstöra saker för telefonbolaget osv .	bloggmix	BLOGGMIX1999	1999
52	10	Samtidigt kom dock nya uppgifter i dagen som delvis förklarar de traditionellt stora vinsterna för Microsoft .	bloggmix	BLOGGMIX1999	1999
53	14	Ford Motor Company har gett många arbetstillfällen , ungefär 360 000 anställda , och de har en omsättning på 600 miljarder kr .	bloggmix	BLOGGMIX1999	1999
54	0	De förstnämnda är USA:s största företag såväl till omsättning som sysselsättning .	bloggmix	BLOGGMIX1999	1999
55	9	Men det är inte alltid positivt som skrivs om de stora data företagen .	bloggmix	BLOGGMIX1999	1999
56	2	Tillslut tog de honom i Calabasas och han fick 200 ’ 000 dollar i böter trots att han hade tagit data värt flera miljoner dollar .	bloggmix	BLOGGMIX1999	1999
57	14	Första och sista meningen i det efterföljande citatet innehåller ett väldigt starkt budskap medan de två mittersta meningarna i sammanhanget mer kan uppfattas som “ utfyllnad ” .	bloggmix	BLOGGMIX1999	1999
58	14	Dessa som är nämnda här är det som turister mest besöker , därför att de flesta tycker det är sevärda .	bloggmix	BLOGGMIX1999	1999
59	2	Flertalet av de tempererade och subtropiska zonernas grödor finns inom USA .	bloggmix	BLOGGMIX1999	1999
60	12	Tretton olika länder har lämnat in ansökningar om medlemskap i EU , de är : Polen , Tjeckien , Slovakien , Slovenien , Ungern , Estland , Lettland , Litauen , Rumänien , Bulgarien , Cypern , Malta och Turkiet .	bloggmix	BLOGGMIX1999	1999
61	14	Genom detta program kunde han se på vilka filer som användes , ta bort dem , styra datorn .	bloggmix	BLOGGMIX1999	1999
62	7	a nya läkemedel är USA ett av de ledande länderna .	bloggmix	BLOGGMIX1999	1999
63	25	Livsmedelsindustrin Livsmedelsindustrin är en rätt så stor industri i USA , t. ex Chicago , Cincinatti , St. Louis , Kansas City och Minneapolis är de största livsmedelsstäderna .	bloggmix	BLOGGMIX1999	1999
64	15	KEVIN MITNICK Ämne : Biografier | Mer Sammanställning utav Frågor Kevin Mitnick är skyldig till de flesta databrott som man kan begå , och finns en lag för .	bloggmix	BLOGGMIX1999	1999
65	10	Det blir att införa eurosedlar och mynt i stället för de gamla tråkiga penningarna .	bloggmix	BLOGGMIX1999	1999
66	0	De ska rådfrågas om beslut som rör deras ansvarsområden .	bloggmix	BLOGGMIX1999	1999
67	8	Mina egna reflektioner : Här är en av de artiklar som bekräftar att IT branschen är den som ökar mest idag .	bloggmix	BLOGGMIX1999	1999
68	43	• Sunda stadsfinanser : Statsskulden får inte överstiga 60 % av BNP och underskottet i statens budget får inta vara större än 3 % av BNP • Den låga obligationsräntan : denna ränta får inte vara mer än 2 % högre än i de medlemsländer som har lägst inflation Tredje etappen Euron En mycket viktig del i EMU är den gemensamma valutan euron .	bloggmix	BLOGGMIX1999	1999
69	9	På så sätt har USA:s industri blivit en av de ledande i världen när det gäller högteknologiska produkter som t.ex. datorer och system för telekommunikation .	bloggmix	BLOGGMIX1999	1999
70	25	Det kemiska marknadsbolaget , Exxon Chemical Norden AB , fortsätter sin verksamhet Exxon idag Exxon koncernen är både stor och har olika specialiserade divisioner , de finns och utforskar i mer än 30 länder runt i världen .	bloggmix	BLOGGMIX1999	1999
71	0	De ska vara fungerande marknadsekonomier och ha förmågan att hantera den konkurrens och de marknadskrafter som finns i EU .	bloggmix	BLOGGMIX1999	1999
72	13	De ska vara fungerande marknadsekonomier och ha förmågan att hantera den konkurrens och de marknadskrafter som finns i EU .	bloggmix	BLOGGMIX1999	1999
73	4	Men när det gäller de ursprungliga områdena så räcker det fortfarande med majoritet för att resten ska tvingas godta beslutet .	bloggmix	BLOGGMIX1999	1999
74	8	Varje vanlig ledamot har en huvudfråga som just de har hand om , även om hela kommissionen har ansvaret för eventuella beslut .	bloggmix	BLOGGMIX1999	1999
75	14	Så det är väl bara att kamma hem en jackpot och fortsätta gå för de 87 poängen .	bloggmix	BLOGGMIX1999	1999
76	2	Ett av de lagen som högst troligt spelar kvalserien och även om Malmö inte når dit så följer man alltid kvalserien stenhårt .	bloggmix	BLOGGMIX1999	1999
77	6	Annars hovar lagen i botten in de poängen jag förväntade att de skulle hova in .	bloggmix	BLOGGMIX1999	1999
78	11	Annars hovar lagen i botten in de poängen jag förväntade att de skulle hova in .	bloggmix	BLOGGMIX1999	1999
79	1	Från de jag pratar med inom Södertälje förnekas inte att Hudacek vill till elitserien heller .	bloggmix	BLOGGMIX1999	1999
80	6	Det man ändå kan säga att de var duktiga på att förvänta de gratislägena som Malmö bjöd på .	bloggmix	BLOGGMIX1999	1999
81	12	Det man ändå kan säga att de var duktiga på att förvänta de gratislägena som Malmö bjöd på .	bloggmix	BLOGGMIX1999	1999
82	4	Ja , jag räknar de tre som klara .	bloggmix	BLOGGMIX1999	1999
83	5	Detta är nämligen en av de matcherna man bara MÅSTE vinna för att fixa sig undan kvalserien .	bloggmix	BLOGGMIX1999	1999
84	16	Jag skrev för någon dag sedan att femteplatsen nog bara var möjlig vid full pott på de fyra sista omgångarna .	bloggmix	BLOGGMIX1999	1999
85	6	Det kan ha varit en av de sjukaste resorna jag gjort .	bloggmix	BLOGGMIX1999	1999
86	21	Klubben som behöver en ny etta och som har haft för vana att ta upp målvakter från lägre serier och göra de bra via målvaktstränaren Stefan Persson .	bloggmix	BLOGGMIX1999	1999
87	0	De två närmsta omgångarna sänder man Södertäljematchen ikväll på TV10 / Viasat Hockey och på måndag är det dessvärre ingen sändning då ny måstematch väntar mot Borås .	bloggmix	BLOGGMIX1999	1999
88	9	Djurgården 67 p ( - 21 ) Avslutningen för de fyra : Omg 52 : Djurgården - Linköping Färjestad - Växjö Modo - Frölunda Omg 53 : Frölunda - Växjö Timrå - Djurgården Linköping - Skellefteå Modo - Brynäs Omg 54 : Växjö - AIK Djurgården - Modo Linköping - HV71 Omg 55 : Luleå - Växjö Modo - Linköping HV71 - Djurgården Min känsla : Växjö har tuffast schema , Linköping har också tufft , Djurgården ett rätt okej schema och Modo har tre hemmamatcher och lättast .	bloggmix	BLOGGMIX1999	1999
89	43	POÄNGSNITT MED HUVUDTRÄNARE : Strömberg : 1.62 poäng / match ( 29 matcher och 47 poäng ) Taavola : 1.55 poäng / match ( 20 matcher och 31 poäng ) Kommentar : Taavola har chansen att sluta på 1.73 om han går rent de sista tre matcherna i serien och därmed ha ett bättre snitt än Strömberg .	bloggmix	BLOGGMIX1999	1999
90	3	Häggströms jobb under de matcherna han hunnit spela för Malmö är hårdare än vad Ciernik presterade rent arbetsmässigt under 35 omgångar .	bloggmix	BLOGGMIX1999	1999
91	13	Hur som helst , så här ställde jag upp hur Malmö behövde slutföra de sista 13 matcherna för att nå 87 pinnar .	bloggmix	BLOGGMIX1999	1999
92	10	Å andra sidan så kan Timrås räddning bli att lagen de ska möta i kvalserien inte visat en direkt strålande form .	bloggmix	BLOGGMIX1999	1999
93	21	Blaz Gregorc är på läktaren , vilket ändå är rätt anmärkningsvärt , med tanke på att han förväntades vara en av de ledande spelarna .	bloggmix	BLOGGMIX1999	1999
94	5	Men man står på exakt de poängen man hade gjort i den uträkningen jag gjorde också .	bloggmix	BLOGGMIX1999	1999
95	24	Någon buss blir det inte då det är försent för att dra ihop , men det finns chaufförer för att dra ihop fler än de minibussarna som ska rulla , så fler kan absolut haka på .	bloggmix	BLOGGMIX1999	1999
96	6	- Har du haft några av de andra cheferna ombord ?	bloggmix	BLOGGMIX1999	1999
97	16	Och det mest fantastiska av allt är att med helikopterperspektiv stämmer det inte alls , i de flesta fall .	bloggmix	BLOGGMIX1999	1999
98	1	” De tittar nog på fotboll ” upprepade hon .	bloggmix	BLOGGMIX1999	1999
99	2	Sen ramlade de in , en efter en , och vid presentationsrundan imponerades jag över bredden bland mina kurskamrater , det var någon präst , någon skådespelare , någon grafisk formgivare , någon politiskt sakkunnig , någon geotekniker , någon flygvärdinna .	bloggmix	BLOGGMIX1999	1999
100	40	Jag har aldrig förstått varför man lägger sitt pass i stolsfickan , men det är inte ovanligt … Du ska få ett bonustips också : Om du reser med barn , så kan det vara en bra idé att fråga dem redan när vagnen kommer ut vad de eventuellt vill ha att dricka .	bloggmix	BLOGGMIX1999	1999
101	47	Jag har aldrig förstått varför man lägger sitt pass i stolsfickan , men det är inte ovanligt … Du ska få ett bonustips också : Om du reser med barn , så kan det vara en bra idé att fråga dem redan när vagnen kommer ut vad de eventuellt vill ha att dricka .	bloggmix	BLOGGMIX1999	1999
102	0	De tittade en i ögonen och det var en fröjd att ha så trevliga passagerare i just den ålderskategorin .	bloggmix	BLOGGMIX1999	1999
103	1	Skulle de trivas kanske de får permanent uppehållstillstånd , vem vet ?	bloggmix	BLOGGMIX1999	1999
104	4	Skulle de trivas kanske de får permanent uppehållstillstånd , vem vet ?	bloggmix	BLOGGMIX1999	1999
105	0	De hade slagit vad och sagt : - Den som får ett visitkort idag av en passagerare blir bjuden på middag av de två andra på hotellet ikväll !	bloggmix	BLOGGMIX1999	1999
106	22	De hade slagit vad och sagt : - Den som får ett visitkort idag av en passagerare blir bjuden på middag av de två andra på hotellet ikväll !	bloggmix	BLOGGMIX1999	1999
107	0	De begåvade lärde sig även laga mat ) ) .	bloggmix	BLOGGMIX1999	1999
108	4	En dag tror jag de ligger kvar på flygplatsen ( om jag är rätt underrättad ) av platsskäl , sedan förflyttas det till nån hittegodsavdelning inne i stan , ialla fall om man flyger till eller från Kastrup .	bloggmix	BLOGGMIX1999	1999
109	28	Den som får den här fakturan kan lätt förväxla den ( i det här fallet kom den när det var svininfluensaepedemi , och den ouppmärksamme kanske tänkte att de ju faktiskt blivit vaccinerade och att det kanske kostade ? ) .	bloggmix	BLOGGMIX1999	1999
110	19	Hjärnan är fantastisk och går absolut att påverka genom att välja positiva tankar , men om man utesluter alla de andra tror jag att kroppen måste visa på annat sätt om det gnager nånstans .	bloggmix	BLOGGMIX1999	1999
111	16	Det tunga är att man inte känner någon trygghet och säkerhet i sitt arbete , att de kör med skrämseltaktik . ” ( Skrämseltaktik är en dålig taktik ) ” – Medeltida företagsstruktur som ju har skrämt anlitade och anställda till tystnad .	bloggmix	BLOGGMIX1999	1999
112	4	Men frågar man om de tror på änglar och skyddsänglar så är svaret många gånger fler ” ja , jag tror på änglar ” .	bloggmix	BLOGGMIX1999	1999
113	8	Inte oviktiga punkter , inte alls , men de står bara lite för sig så de inte belastar samvetet eller behöver skrivas om varje vecka .	bloggmix	BLOGGMIX1999	1999
114	15	Inte oviktiga punkter , inte alls , men de står bara lite för sig så de inte belastar samvetet eller behöver skrivas om varje vecka .	bloggmix	BLOGGMIX1999	1999
115	26	Medan övriga samhället jobbar antingen dag eller nattskift ( man byter oftast inte mitt i ett skift och jobbar morgonskift första 2 dagarna , och nattskift de sista 3 ) har vi inte den typen av regler .	bloggmix	BLOGGMIX1999	1999
116	41	Jag kände igen mig , för när jag diskuterar mina hjärtefrågor ( Ryanair , gamlas behandling , barns utsatthet eller djurrättsfrågor ) blir jag också väldigt taggad och kan inte förstå att till exempel någon inte förstår sammanhangen och kan se de frågorna i större perspektiv .	bloggmix	BLOGGMIX1999	1999
117	5	Eller varför inte skippa alla de där träningarna och testerna vi gör varje år , det kostar ju bara pengar och är ju mest tidsspill ?	bloggmix	BLOGGMIX1999	1999
118	19	Jag leker med tanken , tänk om det är så att vi gör som vi alltid gjort och får de resultat som vi alltid fått enkom för att man alltid bara råkar hitta manliga personer till VD-posten ?	bloggmix	BLOGGMIX1999	1999
119	0	De har många duktiga medarbetare , och de har slitit hårt för att vara där de är .	bloggmix	BLOGGMIX1999	1999
120	7	De har många duktiga medarbetare , och de har slitit hårt för att vara där de är .	bloggmix	BLOGGMIX1999	1999
121	15	De har många duktiga medarbetare , och de har slitit hårt för att vara där de är .	bloggmix	BLOGGMIX1999	1999
122	0	De första timmarna på flyget har varit likadana , bara skönt och roligt och befriande .	bloggmix	BLOGGMIX1999	1999
123	40	Nynnade till Tomas Ledins ” En dag på stranden ” : - ” Jag vaknade först av alla … ” Gick efter en stund hem och satte på kaffekokaren ( till skillnad mot Ledin som bryggde te ) och väckte de andra som yrvaket satte sig med sina mackor på trädäcket och undrade vad klockan var och varför jag väckte dem så tidigt .	bloggmix	BLOGGMIX1999	1999
124	60	Nynnade till Tomas Ledins ” En dag på stranden ” : - ” Jag vaknade först av alla … ” Gick efter en stund hem och satte på kaffekokaren ( till skillnad mot Ledin som bryggde te ) och väckte de andra som yrvaket satte sig med sina mackor på trädäcket och undrade vad klockan var och varför jag väckte dem så tidigt .	bloggmix	BLOGGMIX1999	1999
125	28	Sånt blir dyrt i längden , och därför engagerade vi några tjejer som är utbildade på växtlighet ( det har ett fint namn jag glömt ) och bad dem hjälpa oss välja växter .	bloggmix	BLOGGMIX1999	1999
126	14	Närmaste tiden kommer bli såhär : En av basernas kabinanställda ( vi kan kalla dem danskarna ) kommer protestera först .	bloggmix	BLOGGMIX1999	1999
127	12	Det är något man ibland missar med att framhålla unga ledare , de tror att de uppfinner hjulet .	bloggmix	BLOGGMIX1999	1999
128	15	Det är något man ibland missar med att framhålla unga ledare , de tror att de uppfinner hjulet .	bloggmix	BLOGGMIX1999	1999
129	30	Jag har inget problem med att Marcus leder Debatt , för jag har läst hans texter länge och vet var han står oavsett om han har satt en partibeteckning på dem eller ej .	bloggmix	BLOGGMIX1999	1999
130	9	Jag tror jag slog upp 150 ord bara i de första tre kapitlena , men sen lärde man sig hennes uttryckssätt .	bloggmix	BLOGGMIX1999	1999
131	0	De bodde vid tillfället i England och hade varit på semester i Sverige och skulle nu flyga hem , och ankom till flygplatsen någon timme innan flygavgång med sitt bagage och ställde sig i incheckningskön .	bloggmix	BLOGGMIX1999	1999
132	39	Jag kommer inte ihåg det själv , det är längesen , men något i stil med att ” man kan bli vad man vill , sen kan man ändra sig ” , och det hade varit så inspirerande tyckte de .	bloggmix	BLOGGMIX1999	1999
133	6	Ingen tvingar någon att flyga med dem , men de har flest passagerare i världen .	bloggmix	BLOGGMIX1999	1999
134	9	Ingen tvingar någon att flyga med dem , men de har flest passagerare i världen .	bloggmix	BLOGGMIX1999	1999
135	6	Men allt annat saknar jag , de goa samtalen med passagerarna som man inte hinner på samma sätt på en 25 minuters flygning .	bloggmix	BLOGGMIX1999	1999
136	4	Så hörde jag att de spelade någon musik som jag uppfattade som lugnande klassisk , det är säkert ett bra drag för att lugna normalrädda , men såna som jag kan lika gärna höra Ödessymfonin eller ACDC .	bloggmix	BLOGGMIX1999	1999
137	11	Nej , hon menade inte att det behövde bero på att de var anorektiska utan mer ” unga och valpiga ” .	bloggmix	BLOGGMIX1999	1999
138	18	Elektriska handljus och glitter varvades med levande , och redan vid uppställningen kunde man se att om inte de levande ljusen sänktes ner till brösthöjd skulle syret kring tärnorna snart vara bristvara med svimning som följd .	bloggmix	BLOGGMIX1999	1999
139	0	De har rätt att vara med och bestämma vilka som ska styra vårt land , och de kan också kandidera själv .	bloggmix	BLOGGMIX1999	1999
140	16	De har rätt att vara med och bestämma vilka som ska styra vårt land , och de kan också kandidera själv .	bloggmix	BLOGGMIX1999	1999
141	18	Jag sitter där ibland , men Tony är en betydligt bättre pedagog än jag när det kommer till de egna avkommornas fortbildning .	bloggmix	BLOGGMIX1999	1999
142	13	Att läsa för mig är avkoppling , lära ord , lära mig av de bästa hur de använder dessa ord i sammanhang , men det förutsätter att det finns ett sammanhang , att det finns en story som man vill veta slutet på eller annat som ger lust att läsa .	bloggmix	BLOGGMIX1999	1999
143	16	Att läsa för mig är avkoppling , lära ord , lära mig av de bästa hur de använder dessa ord i sammanhang , men det förutsätter att det finns ett sammanhang , att det finns en story som man vill veta slutet på eller annat som ger lust att läsa .	bloggmix	BLOGGMIX1999	1999
144	2	Dessutom får de ju inte den produkt de har beställt om jag skulle hitta en ersättare .	bloggmix	BLOGGMIX1999	1999
145	7	Dessutom får de ju inte den produkt de har beställt om jag skulle hitta en ersättare .	bloggmix	BLOGGMIX1999	1999
146	8	- Mamma , neej … försökte en av dem medan jag krängde i ett ben .	bloggmix	BLOGGMIX1999	1999
147	9	Bilder nedan , hämtade från Google bilder , på de typer jag flyger .	bloggmix	BLOGGMIX1999	1999
148	8	Och precis på samma sätt tror jag faktiskt de flesta har det , de gillar barn jättemycket , men inte alla barn på alla platser .	bloggmix	BLOGGMIX1999	1999
149	13	Och precis på samma sätt tror jag faktiskt de flesta har det , de gillar barn jättemycket , men inte alla barn på alla platser .	bloggmix	BLOGGMIX1999	1999
150	16	med föräldrar som kunde ta ut max 2 veckors semester per år på grund av att de inte kunde lämna företaget längre ( överklass ? ) .	bloggmix	BLOGGMIX1999	1999
151	0	De kan lära sig sitt namn och vissa kommando kanske , men vad betyder det för dem ?	bloggmix	BLOGGMIX1999	1999
152	16	De kan lära sig sitt namn och vissa kommando kanske , men vad betyder det för dem ?	bloggmix	BLOGGMIX1999	1999
153	28	Jag tror att flygbranschen ser annorlunda ut om två år , men utan att vara synsk kan jag analysera mig fram till , genom att titta historiskt på de 27 år jag varit i flygbranschen .	bloggmix	BLOGGMIX1999	1999
154	5	Min största utveckling har skett de senaste åren , och det utan att jag kunnat påverka omständigheterna .	bloggmix	BLOGGMIX1999	1999
155	12	Företag som anställer uträknade , som ger praktikplatser och dylikt , ska de också vara ursäktade moraliskt sett om de dubbelfakturerar eller betalar för låga löner ?	bloggmix	BLOGGMIX1999	1999
156	19	Företag som anställer uträknade , som ger praktikplatser och dylikt , ska de också vara ursäktade moraliskt sett om de dubbelfakturerar eller betalar för låga löner ?	bloggmix	BLOGGMIX1999	1999
157	11	Det är dessutom lite bråttom eftersom hon har hållit oss vakna de senaste nätterna med höga hjärtskärande skrik som låter ungefär ” Jag-vill-ha ” .	bloggmix	BLOGGMIX1999	1999
158	3	Till exempel har de flesta länder förbjudit hot om våld , och program mot mobbning ( som även omfattar ord ) finns .	bloggmix	BLOGGMIX1999	1999
159	17	Som en kollega sa : ” Förr i tiden letade kvinnor efter Mr Right , nu letar de efter Mr Grey ” .	bloggmix	BLOGGMIX1999	1999
160	13	Lille gubben … Andra barn skulle nog en del föräldrar bli förvånade om de såg ombord .	bloggmix	BLOGGMIX1999	1999
161	16	Det finns internationella företag som har baser i alla världens hörn , men det är inte dem jag syftar på , det är inte globaliseringen jag förringar .	bloggmix	BLOGGMIX1999	1999
162	17	Åsas arbetsdagar är teoretiskt inga problem , hon jobbar aktivt kanske 10 timmar , men praktiskt med de osammanhängande sovtiderna är det mycket ansträngande för en människorkropp .	bloggmix	BLOGGMIX1999	1999
163	0	De agerar troligen inte alls som de fått förmaningar om .	bloggmix	BLOGGMIX1999	1999
164	6	De agerar troligen inte alls som de fått förmaningar om .	bloggmix	BLOGGMIX1999	1999
165	2	Då ombeds de nog hellre söka sig till ett annat parti ? )	bloggmix	BLOGGMIX1999	1999
166	12	Utåt försvarar normalt en VD sin personal , inte kastar skit på dem .	bloggmix	BLOGGMIX1999	1999
167	2	Flera av dem kom ombord och sträckte fram handen och hälsade på mig i dörren , jag log stort tillbaka och hälsade dem hjärtligt välkomna .	bloggmix	BLOGGMIX1999	1999
168	22	Flera av dem kom ombord och sträckte fram handen och hälsade på mig i dörren , jag log stort tillbaka och hälsade dem hjärtligt välkomna .	bloggmix	BLOGGMIX1999	1999
169	10	Men fråga en av tjejerna i butiken , så hjälper de dig !	bloggmix	BLOGGMIX1999	1999
170	1	Och de som verkligen inte kunde komma tillbaka kunde få vara ifred och få hjälp till att leva ett bra liv trots sin sjukdom .	bloggmix	BLOGGMIX1999	1999
