"word"	"Totalt"	"SVT nyheter 2017"
"minnas"	"12"	"12"
"kännas"	"12"	"12"
"införas"	"12"	"12"
"föra"	"12"	"12"
"erbjuda"	"12"	"12"
"betyda"	"12"	"12"
"betala"	"12"	"12"
"ändras"	"11"	"11"
"sätta"	"11"	"11"
"stängas"	"11"	"11"
"rulla"	"11"	"11"
"prata"	"11"	"11"
"placeras"	"11"	"11"
"passa"	"11"	"11"
"lösa"	"11"	"11"
"lyckas"	"11"	"11"
"gynna"	"11"	"11"
"fatta"	"11"	"11"
"besöka"	"11"	"11"
"använda"	"11"	"11"
"vidta"	"10"	"10"
"utredas"	"10"	"10"
"underlätta"	"10"	"10"
"tycka"	"10"	"10"
"sättas"	"10"	"10"
"skickas"	"10"	"10"
"satsa"	"10"	"10"
"räcka"	"10"	"10"
"märkas"	"10"	"10"
"locka"	"10"	"10"
"känna"	"10"	"10"
"fokusera"	"10"	"10"
"erbjudas"	"10"	"10"
"drabba"	"10"	"10"
"diskutera"	"10"	"10"
"ändra"	"9"	"9"
"våga"	"9"	"9"
"säga"	"9"	"9"
"stiga"	"9"	"9"
"skicka"	"9"	"9"
"sjunka"	"9"	"9"
"nå"	"9"	"9"
"inledas"	"9"	"9"
"flytta"	"9"	"9"
"agera"	"9"	"9"
"tillföra"	"8"	"8"
"presenteras"	"8"	"8"
"orsaka"	"8"	"8"
"medverka"	"8"	"8"
"leva"	"8"	"8"
"ledas"	"8"	"8"
"landa"	"8"	"8"
"falla"	"8"	"8"
"bygga"	"8"	"8"
"överklagas"	"7"	"7"
"öppnas"	"7"	"7"
"öppna"	"7"	"7"
"växa"	"7"	"7"
"uppträda"	"7"	"7"
"spara"	"7"	"7"
"släppas"	"7"	"7"
"presentera"	"7"	"7"
"mötas"	"7"	"7"
"lämnas"	"7"	"7"
"höras"	"7"	"7"
"generera"	"7"	"7"
"förändras"	"7"	"7"
"förändra"	"7"	"7"
"förlora"	"7"	"7"
"flyttas"	"7"	"7"
"fattas"	"7"	"7"
"ersättas"	"7"	"7"
"dö"	"7"	"7"
"delas"	"7"	"7"
"bjuda"	"7"	"7"
"avgöra"	"7"	"7"
"öva"	"6"	"6"
"vända"	"6"	"6"
"undersöka"	"6"	"6"
"tilldelas"	"6"	"6"
"svara"	"6"	"6"
"stärka"	"6"	"6"
"släppa"	"6"	"6"
"röra"	"6"	"6"
"rivas"	"6"	"6"
"klaras"	"6"	"6"
"kandidera"	"6"	"6"
"innehålla"	"6"	"6"
"höja"	"6"	"6"
"fördelas"	"6"	"6"
"flyga"	"6"	"6"
"dela"	"6"	"6"
"blåsa"	"6"	"6"
"bjudas"	"6"	"6"
"bevaka"	"6"	"6"
"ägna"	"5"	"5"
"åtgärdas"	"5"	"5"
"välja"	"5"	"5"
"visas"	"5"	"5"
"utvecklas"	"5"	"5"
"utgöra"	"5"	"5"
"upprätta"	"5"	"5"
"uppmana"	"5"	"5"
"undersökas"	"5"	"5"
"täcka"	"5"	"5"
"träna"	"5"	"5"
"träffas"	"5"	"5"
"träffa"	"5"	"5"
"springa"	"5"	"5"
"skrivas"	"5"	"5"
"saknas"	"5"	"5"
"råda"	"5"	"5"
"rymma"	"5"	"5"
"reagera"	"5"	"5"
"påbörjas"	"5"	"5"
"medföra"	"5"	"5"
"meddela"	"5"	"5"
"läsa"	"5"	"5"
"lyfta"	"5"	"5"
"leta"	"5"	"5"
"kvarstå"	"5"	"5"
"ingå"	"5"	"5"
"höra"	"5"	"5"
"hanteras"	"5"	"5"
"förstöra"	"5"	"5"
"förstå"	"5"	"5"
"föreslå"	"5"	"5"
"förbättra"	"5"	"5"
"förbli"	"5"	"5"
"fyllas"	"5"	"5"
"fjärrstyras"	"5"	"5"
"cykla"	"5"	"5"
"bära"	"5"	"5"
"brinna"	"5"	"5"
"betalas"	"5"	"5"
"besluta"	"5"	"5"
"berätta"	"5"	"5"
"bedrivas"	"5"	"5"
"avgå"	"5"	"5"
"arrangeras"	"5"	"5"
"återhämta"	"4"	"4"
"väcka"	"4"	"4"
"utökas"	"4"	"4"
"utöka"	"4"	"4"
"utvärdera"	"4"	"4"
"utveckla"	"4"	"4"
"utföras"	"4"	"4"
"utföra"	"4"	"4"
"upphöra"	"4"	"4"
"tillsättas"	"4"	"4"
"testas"	"4"	"4"
"tala"	"4"	"4"
"stötta"	"4"	"4"
"sprida"	"4"	"4"
"skjuta"	"4"	"4"
"regna"	"4"	"4"
"påbörja"	"4"	"4"
"prövas"	"4"	"4"
"ordna"	"4"	"4"
"lyftas"	"4"	"4"
"köras"	"4"	"4"
"körandes"	"4"	"4"
"kämpa"	"4"	"4"
"kolla"	"4"	"4"
"kallas"	"4"	"4"
"inspirera"	"4"	"4"
"inleda"	"4"	"4"
"införa"	"4"	"4"
"höjas"	"4"	"4"
"hantera"	"4"	"4"
"glömma"	"4"	"4"
"framföra"	"4"	"4"
"fortgå"	"4"	"4"
"dömas"	"4"	"4"
"diskuteras"	"4"	"4"
"byta"	"4"	"4"
"behandlas"	"4"	"4"
"behandla"	"4"	"4"
"begäras"	"4"	"4"
"be"	"4"	"4"
"avsättas"	"4"	"4"
"avslutas"	"4"	"4"
"avgöras"	"4"	"4"
"anställas"	"4"	"4"
"acceptera"	"4"	"4"
"återfalla"	"3"	"3"
"åtalas"	"3"	"3"
"väga"	"3"	"3"
"väckas"	"3"	"3"
"vidtas"	"3"	"3"
"variera"	"3"	"3"
"utsättas"	"3"	"3"
"upptäcka"	"3"	"3"
"uppskattas"	"3"	"3"
"upprättas"	"3"	"3"
"tillåta"	"3"	"3"
"tillträda"	"3"	"3"
"testa"	"3"	"3"
"sändas"	"3"	"3"
"sända"	"3"	"3"
"sälja"	"3"	"3"
"stänga"	"3"	"3"
"spärra"	"3"	"3"
"slutas"	"3"	"3"
"skänkas"	"3"	"3"
"samlas"	"3"	"3"
"samla"	"3"	"3"
"råka"	"3"	"3"
"ringa"	"3"	"3"
"resultera"	"3"	"3"
"representera"	"3"	"3"
"renoveras"	"3"	"3"
"rekommendera"	"3"	"3"
"pröva"	"3"	"3"
"producera"	"3"	"3"
"passera"	"3"	"3"
"mynna"	"3"	"3"
"motsätta"	"3"	"3"
"misslyckas"	"3"	"3"
"missa"	"3"	"3"
"låna"	"3"	"3"
"lyssna"	"3"	"3"
"lysas"	"3"	"3"
"köpa"	"3"	"3"
"komplettera"	"3"	"3"
"kliva"	"3"	"3"
"inrymma"	"3"	"3"
"informera"	"3"	"3"
"hänga"	"3"	"3"
"husera"	"3"	"3"
"gräva"	"3"	"3"
"ges"	"3"	"3"
"genomgå"	"3"	"3"
"gagna"	"3"	"3"
"förhöra"	"3"	"3"
"fylla"	"3"	"3"
"forsätta"	"3"	"3"
"etableras"	"3"	"3"
"dyka"	"3"	"3"
"dras"	"3"	"3"
"bo"	"3"	"3"
"beskatta"	"3"	"3"
"beröra"	"3"	"3"
"anmäla"	"3"	"3"
"överväga"	"2"	"2"
"överstiga"	"2"	"2"
"överlämnas"	"2"	"2"
"överleva"	"2"	"2"
"åtgärda"	"2"	"2"
"återvända"	"2"	"2"
"återkomma"	"2"	"2"
"ångra"	"2"	"2"
"växla"	"2"	"2"
"vänta"	"2"	"2"
"väljas"	"2"	"2"
"veta"	"2"	"2"
"verkställas"	"2"	"2"
"utvärderas"	"2"	"2"
"utses"	"2"	"2"
"utnyttja"	"2"	"2"
"utformas"	"2"	"2"
"uppstå"	"2"	"2"
"uppskatta"	"2"	"2"
"uppmärksammas"	"2"	"2"
"uppleva"	"2"	"2"
"uppgå"	"2"	"2"
"uppfylla"	"2"	"2"
"uppdateras"	"2"	"2"
"uppdatera"	"2"	"2"
"underhålla"	"2"	"2"
"träda"	"2"	"2"
"trycka"	"2"	"2"
"trotsa"	"2"	"2"
"tro"	"2"	"2"
"trafikeras"	"2"	"2"
"tillkomma"	"2"	"2"
"te"	"2"	"2"
"säljas"	"2"	"2"
"säkerställa"	"2"	"2"
"sägas"	"2"	"2"
"svälla"	"2"	"2"
"stödja"	"2"	"2"
"stärkas"	"2"	"2"
"stämma"	"2"	"2"
"styra"	"2"	"2"
"studeras"	"2"	"2"
"strida"	"2"	"2"
"stoppa"	"2"	"2"
"stabiliseras"	"2"	"2"
"spärras"	"2"	"2"
"spridas"	"2"	"2"
"spilla"	"2"	"2"
"sparkas"	"2"	"2"
"sova"	"2"	"2"
"snöa"	"2"	"2"
"snedvrida"	"2"	"2"
"slås"	"2"	"2"
"slopas"	"2"	"2"
"slippa"	"2"	"2"
"skrämma"	"2"	"2"
"skapas"	"2"	"2"
"skada"	"2"	"2"
"sjunga"	"2"	"2"
"satsas"	"2"	"2"
"sammanfogas"	"2"	"2"
"samarbeta"	"2"	"2"
"riva"	"2"	"2"
"rikta"	"2"	"2"
"resa"	"2"	"2"
"prydas"	"2"	"2"
"prioriteras"	"2"	"2"
"prioritera"	"2"	"2"
"pressa"	"2"	"2"
"pendla"	"2"	"2"
"peka"	"2"	"2"
"orka"	"2"	"2"
"nås"	"2"	"2"
"må"	"2"	"2"
"meddelas"	"2"	"2"
"löpa"	"2"	"2"
"lära"	"2"	"2"
"lysa"	"2"	"2"
"lukta"	"2"	"2"
"lugna"	"2"	"2"
"levereras"	"2"	"2"
"leverera"	"2"	"2"
"lastas"	"2"	"2"
"ladda"	"2"	"2"
"köpas"	"2"	"2"
"kontrolleras"	"2"	"2"
"konkurrera"	"2"	"2"
"kalla"	"2"	"2"
"invänta"	"2"	"2"
"invigas"	"2"	"2"
"investera"	"2"	"2"
"inträffa"	"2"	"2"
"inse"	"2"	"2"
"informeras"	"2"	"2"
"häva"	"2"	"2"
"hänvisas"	"2"	"2"
"hämta"	"2"	"2"
"heta"	"2"	"2"
"handläggas"	"2"	"2"
"gripa"	"2"	"2"
"granskas"	"2"	"2"
"godkännas"	"2"	"2"
"försämras"	"2"	"2"
"förstöras"	"2"	"2"
"förstärka"	"2"	"2"
"förlängas"	"2"	"2"
"förlänga"	"2"	"2"
"föreläsa"	"2"	"2"
"fördubblas"	"2"	"2"
"förbjudas"	"2"	"2"
"följas"	"2"	"2"
"färdigställas"	"2"	"2"
"fullfölja"	"2"	"2"
"frigöra"	"2"	"2"
"framgå"	"2"	"2"
"flyta"	"2"	"2"
"fjärrstyra"	"2"	"2"
"fira"	"2"	"2"
"finna"	"2"	"2"
"finansiera"	"2"	"2"
"erkänna"	"2"	"2"
"efterfrågas"	"2"	"2"
"döma"	"2"	"2"
"döda"	"2"	"2"
"dricka"	"2"	"2"
"delges"	"2"	"2"
"bytas"	"2"	"2"
"bråka"	"2"	"2"
"bryta"	"2"	"2"
"bringa"	"2"	"2"
"bilda"	"2"	"2"
"bevakas"	"2"	"2"
"beslutas"	"2"	"2"
"beröras"	"2"	"2"
"behålla"	"2"	"2"
"begå"	"2"	"2"
"avvakta"	"2"	"2"
"anvisas"	"2"	"2"
"ansvara"	"2"	"2"
"anställa"	"2"	"2"
"anmälas"	"2"	"2"
"anlända"	"2"	"2"
"accepteras"	"2"	"2"
"övervaka"	"1"	"1"
"överse"	"1"	"1"
"övergå"	"1"	"1"
"öronmärka"	"1"	"1"
"ägnas"	"1"	"1"
"återupptas"	"1"	"1"
"återuppbyggas"	"1"	"1"
"återrapportera"	"1"	"1"
"återgå"	"1"	"1"
"återfå"	"1"	"1"
"återfinnas"	"1"	"1"
"återanvändas"	"1"	"1"
"åtala"	"1"	"1"
"åkas"	"1"	"1"
"värva"	"1"	"1"
"värna"	"1"	"1"
"välkomna"	"1"	"1"
"vägras"	"1"	"1"
"vägas"	"1"	"1"
"vädja"	"1"	"1"
"vårdas"	"1"	"1"
"vittna"	"1"	"1"
"vistas"	"1"	"1"
"vikas"	"1"	"1"
"verkställa"	"1"	"1"
"varslas"	"1"	"1"
"vandrandes"	"1"	"1"
"vandra"	"1"	"1"
"vakna"	"1"	"1"
"utvisas"	"1"	"1"
"utvidgas"	"1"	"1"
"utspringandes"	"1"	"1"
"utspela"	"1"	"1"
"utsmyckas"	"1"	"1"
"utse"	"1"	"1"
"utrustas"	"1"	"1"
"utmana"	"1"	"1"
"utlämna"	"1"	"1"
"utkrävas"	"1"	"1"
"uthärda"	"1"	"1"
"utfärdas"	"1"	"1"
"utfärda"	"1"	"1"
"utforska"	"1"	"1"
"utebli"	"1"	"1"
"utbilda"	"1"	"1"
"utarma"	"1"	"1"
"uppsöka"	"1"	"1"
"upprepa"	"1"	"1"
"uppnås"	"1"	"1"
"upphandlas"	"1"	"1"
"undvika"	"1"	"1"
"undsättas"	"1"	"1"
"tära"	"1"	"1"
"tänka"	"1"	"1"
"tända"	"1"	"1"
"turista"	"1"	"1"
"trängas"	"1"	"1"
"tränga"	"1"	"1"
"trumma"	"1"	"1"
"trivas"	"1"	"1"
"trilla"	"1"	"1"
"trappa"	"1"	"1"
"transporteras"	"1"	"1"
"transportera"	"1"	"1"
"trafikera"	"1"	"1"
"torteras"	"1"	"1"
"torka"	"1"	"1"
"toppa"	"1"	"1"
"tolereras"	"1"	"1"
"tjäna"	"1"	"1"
"tillämpa"	"1"	"1"
"tillvaratas"	"1"	"1"
"tillta"	"1"	"1"
"tillhöra"	"1"	"1"
"tillföras"	"1"	"1"
"tillfalla"	"1"	"1"
"tillbringa"	"1"	"1"
"tappa"	"1"	"1"
"talas"	"1"	"1"
"tacka"	"1"	"1"
"sänka"	"1"	"1"
"sugas"	"1"	"1"
"störas"	"1"	"1"
"störa"	"1"	"1"
"stängsla"	"1"	"1"
"sträcka"	"1"	"1"
"stryka"	"1"	"1"
"storsatsa"	"1"	"1"
"stjäla"	"1"	"1"
"sticka"	"1"	"1"
"stegras"	"1"	"1"
"startas"	"1"	"1"
"spricka"	"1"	"1"
"spola"	"1"	"1"
"splittra"	"1"	"1"
"spetsa"	"1"	"1"
"spendera"	"1"	"1"
"sparka"	"1"	"1"
"sparas"	"1"	"1"
"snabbutreda"	"1"	"1"
"smyga"	"1"	"1"
"smittas"	"1"	"1"
"släcka"	"1"	"1"
"slåss"	"1"	"1"
"slutföra"	"1"	"1"
"skötas"	"1"	"1"
"sköta"	"1"	"1"
"skänka"	"1"	"1"
"skyltas"	"1"	"1"
"skydda"	"1"	"1"
"skoja"	"1"	"1"
"skjutsa"	"1"	"1"
"skjutas"	"1"	"1"
"skipas"	"1"	"1"
"skina"	"1"	"1"
"skalla"	"1"	"1"
"skaffa"	"1"	"1"
"sikta"	"1"	"1"
"showa"	"1"	"1"
"ses"	"1"	"1"
"serveras"	"1"	"1"
"senarelägga"	"1"	"1"
"segla"	"1"	"1"
"saneras"	"1"	"1"
"samverka"	"1"	"1"
"samordnas"	"1"	"1"
"samordna"	"1"	"1"
"sammanställa"	"1"	"1"
"sammanfatta"	"1"	"1"
"salta"	"1"	"1"
"röstas"	"1"	"1"
"röna"	"1"	"1"
"rätta"	"1"	"1"
"rädda"	"1"	"1"
"rymmas"	"1"	"1"
"ryka"	"1"	"1"
"rustas"	"1"	"1"
"rubriceras"	"1"	"1"
"rubricera"	"1"	"1"
"rocka"	"1"	"1"
"riktas"	"1"	"1"
"respektera"	"1"	"1"
"remittera"	"1"	"1"
"rekryteras"	"1"	"1"
"rekrytera"	"1"	"1"
"redovisas"	"1"	"1"
"redogöra"	"1"	"1"
"realiseras"	"1"	"1"
"rapportera"	"1"	"1"
"ramla"	"1"	"1"
"påtala"	"1"	"1"
"påskynda"	"1"	"1"
"påpeka"	"1"	"1"
"pryda"	"1"	"1"
"protestera"	"1"	"1"
"promenera"	"1"	"1"
"projiceras"	"1"	"1"
"produceras"	"1"	"1"
"polisanmälas"	"1"	"1"
"polisanmäla"	"1"	"1"
"plugga"	"1"	"1"
"plockas"	"1"	"1"
"permanentas"	"1"	"1"
"pensioneras"	"1"	"1"
"passeras"	"1"	"1"
"ordnas"	"1"	"1"
"omvandlas"	"1"	"1"
"omtalas"	"1"	"1"
"omfattas"	"1"	"1"
"omfatta"	"1"	"1"
"omdirigeras"	"1"	"1"
"ombokas"	"1"	"1"
"ogillas"	"1"	"1"
"närvara"	"1"	"1"
"närma"	"1"	"1"
"nyttja"	"1"	"1"
"neka"	"1"	"1"
"möjliggöra"	"1"	"1"
"mäta"	"1"	"1"
"motverka"	"1"	"1"
"motarbeta"	"1"	"1"
"monteras"	"1"	"1"
"mista"	"1"	"1"
"misstänkas"	"1"	"1"
"manifestera"	"1"	"1"
"lösas"	"1"	"1"
"läsas"	"1"	"1"
"låsas"	"1"	"1"
"lånas"	"1"	"1"
"livsändas"	"1"	"1"
"lita"	"1"	"1"
"limma"	"1"	"1"
"lida"	"1"	"1"
"leasas"	"1"	"1"
"lanseras"	"1"	"1"
"lansera"	"1"	"1"
"lagstifta"	"1"	"1"
"laga"	"1"	"1"
"laddas"	"1"	"1"
"kulminera"	"1"	"1"
"kopplas"	"1"	"1"
"kopieras"	"1"	"1"
"kontrollera"	"1"	"1"
"kontaktas"	"1"	"1"
"kontakta"	"1"	"1"
"komplicera"	"1"	"1"
"kombineras"	"1"	"1"
"kollapsa"	"1"	"1"
"klubba"	"1"	"1"
"klarna"	"1"	"1"
"kasta"	"1"	"1"
"kartlägga"	"1"	"1"
"kameraövervakas"	"1"	"1"
"kalibrera"	"1"	"1"
"jaga"	"1"	"1"
"intressera"	"1"	"1"
"intensifieras"	"1"	"1"
"intensifiera"	"1"	"1"
"intas"	"1"	"1"
"inta"	"1"	"1"
"innefatta"	"1"	"1"
"inkluderas"	"1"	"1"
"influera"	"1"	"1"
"hävda"	"1"	"1"
"hävas"	"1"	"1"
"hyra"	"1"	"1"
"hugga"	"1"	"1"
"hoppa"	"1"	"1"
"hindras"	"1"	"1"
"hindra"	"1"	"1"
"haverera"	"1"	"1"
"hasta"	"1"	"1"
"gömma"	"1"	"1"
"gästas"	"1"	"1"
"gåendes"	"1"	"1"
"gynnas"	"1"	"1"
"guida"	"1"	"1"
"gråta"	"1"	"1"
"grundförstärka"	"1"	"1"
"gripas"	"1"	"1"
"granska"	"1"	"1"
"glädjas"	"1"	"1"
"glädja"	"1"	"1"
"glida"	"1"	"1"
"gilla"	"1"	"1"
"gestalta"	"1"	"1"
"garantera"	"1"	"1"
"föräras"	"1"	"1"
"förvandla"	"1"	"1"
"förtydliga"	"1"	"1"
"försörja"	"1"	"1"
"försättas"	"1"	"1"
"försämra"	"1"	"1"
"försäkra"	"1"	"1"
"försvåra"	"1"	"1"
"försvaga"	"1"	"1"
"förstärkas"	"1"	"1"
"försena"	"1"	"1"
"förorda"	"1"	"1"
"förnya"	"1"	"1"
"förklaras"	"1"	"1"
"förklara"	"1"	"1"
"förhandla"	"1"	"1"
"förhala"	"1"	"1"
"förevigas"	"1"	"1"
"företräda"	"1"	"1"
"föresena"	"1"	"1"
"förenkla"	"1"	"1"
"fördubbla"	"1"	"1"
"fördjupa"	"1"	"1"
"förbättras"	"1"	"1"
"förbereda"	"1"	"1"
"fästas"	"1"	"1"
"fällas"	"1"	"1"
"fälla"	"1"	"1"
"funka"	"1"	"1"
"fullgöra"	"1"	"1"
"fullbordas"	"1"	"1"
"fråga"	"1"	"1"
"frysa"	"1"	"1"
"frigöras"	"1"	"1"
"frias"	"1"	"1"
"fresta"	"1"	"1"
"framstå"	"1"	"1"
"framkomma"	"1"	"1"
"framföras"	"1"	"1"
"fotografera"	"1"	"1"
"fortskrida"	"1"	"1"
"forstätta"	"1"	"1"
"fly"	"1"	"1"
"fixa"	"1"	"1"
"fiskas"	"1"	"1"
"fiska"	"1"	"1"
"finansieras"	"1"	"1"
"filma"	"1"	"1"
"fastställa"	"1"	"1"
"fara"	"1"	"1"
"explodera"	"1"	"1"
"ersätta"	"1"	"1"
"engagera"	"1"	"1"
"efterträda"	"1"	"1"
"dukas"	"1"	"1"
"dubbelkolla"	"1"	"1"
"drunkna"	"1"	"1"
"drivas"	"1"	"1"
"dominera"	"1"	"1"
"dokumenteras"	"1"	"1"
"dokumentera"	"1"	"1"
"diskvalificeras"	"1"	"1"
"direktsändas"	"1"	"1"
"delegera"	"1"	"1"
"bäras"	"1"	"1"
"bussas"	"1"	"1"
"bullra"	"1"	"1"
"bry"	"1"	"1"
"brista"	"1"	"1"
"breddas"	"1"	"1"
"bota"	"1"	"1"
"borras"	"1"	"1"
"bombardera"	"1"	"1"
"boka"	"1"	"1"
"bojkotta"	"1"	"1"
"blossa"	"1"	"1"
"blomma"	"1"	"1"
"blandas"	"1"	"1"
"bita"	"1"	"1"
"bistås"	"1"	"1"
"bifalla"	"1"	"1"
"beviljas"	"1"	"1"
"bevara"	"1"	"1"
"besättas"	"1"	"1"
"besvaras"	"1"	"1"
"besvara"	"1"	"1"
"bestrida"	"1"	"1"
"beskydda"	"1"	"1"
"bemanna"	"1"	"1"
"belasta"	"1"	"1"
"behållas"	"1"	"1"
"begränsas"	"1"	"1"
"bedöma"	"1"	"1"
"bedriva"	"1"	"1"
"bearbetas"	"1"	"1"
"baseras"	"1"	"1"
"backa"	"1"	"1"
"avvecklas"	"1"	"1"
"avtransporteras"	"1"	"1"
"avtjäna"	"1"	"1"
"avstå"	"1"	"1"
"avstanna"	"1"	"1"
"avslöjas"	"1"	"1"
"avsluta"	"1"	"1"
"avskeda"	"1"	"1"
"avskaffa"	"1"	"1"
"avläggas"	"1"	"1"
"avlivas"	"1"	"1"
"avhandlas"	"1"	"1"
"avgiftsbeläggas"	"1"	"1"
"attrahera"	"1"	"1"
"arrangera"	"1"	"1"
"argumentera"	"1"	"1"
"arbetas"	"1"	"1"
"antas"	"1"	"1"
"anstränga"	"1"	"1"
"ansluta"	"1"	"1"
"anpassas"	"1"	"1"
"anordnas"	"1"	"1"
"anlöpa"	"1"	"1"
"anamma"	"1"	"1"
"ana"	"1"	"1"
"alltsågå"	"1"	"1"
"’"	"1"	"1"
