variable	nvariants	query
de(m)_vs_dom	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([(word+=+'de'+%25c+%7C+word+=+'dem'+%25c)+%26+(pos+=+'PN'+%7C+pos+=+'DT')]+[word+!=+'som'+%25c])+%7C+([deprel+!=+'DT'+%26+deprel+!=+'AT']+[word+=+'dom'+%25c+%26+(pos+=+'PN'+%7C+pos+=+'DT')]+[word+!=+'som'+%25c]))&corpus=flashback-dator&subcqp0=[(word+=+'de'+%25c+%7C+word+=+'dem'+%25c)+%26+(pos+=+'PN'+%7C+pos+=+'DT')]+[word+!=+'som'+%25c]&subcqp1=[deprel+!=+'DT'+%26+deprel+!=+'AT']+[word+=+'dom'+%25c+%26+(pos+=+'PN'+%7C+pos+=+'DT')]+[word+!=+'som'+%25c]
hbt(q)2	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([(word+=+'hbt[%5Eq].*'+%25c+)])+%7C+([(word+=+'hbtq.*'+%25c+)]))&corpus=flashback-dator&subcqp0=[(word+=+'hbt[%5Eq].*'+%25c+)]&subcqp1=[(word+=+'hbtq.*'+%25c+)]
hbt(q)3	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([word+!=+'hbtv'+%25c]+[]+[word+=+'hbt[%5Eq].*'+%25c]+[word+!=+'%5C%5C'])+%7C+([word+!=+'%5C%5C']+[(word+=+'hbtq.*'+%25c+)]))&corpus=flashback-dator&subcqp0=[word+!=+'hbtv'+%25c]+[]+[word+=+'hbt[%5Eq].*'+%25c]+[word+!=+'%5C%5C']&subcqp1=[word+!=+'%5C%5C']+[(word+=+'hbtq.*'+%25c+)]
aen	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([word+=+'%C3%A4n'+%25c+%26+pos+=+'KN']+[msd+=+'.*SUB.*'+%26+(lex+contains+'jag%5C.%5C.pn%5C.1'+%7C+lex+contains+'du%5C.%5C.pn%5C.1'+%7C+lex+contains+'han%5C.%5C.pn%5C.1'+%7C+lex+contains+'hon%5C.%5C.pn%5C.1'+%7C+lex+contains+'vi%5C.%5C.pn%5C.1'+%7C+lex+contains+'ni%5C.%5C.pn%5C.1')])+%7C+([word+=+'%C3%A4n'+%25c+%26+pos+=+'KN']+[msd+=+'.*OBJ.*'+%26+(lex+contains+'jag%5C.%5C.pn%5C.1'+%7C+lex+contains+'du%5C.%5C.pn%5C.1'+%7C+lex+contains+'han%5C.%5C.pn%5C.1'+%7C+lex+contains+'hon%5C.%5C.pn%5C.1'+%7C+lex+contains+'vi%5C.%5C.pn%5C.1'+%7C+lex+contains+'ni%5C.%5C.pn%5C.1')]))&corpus=flashback-dator&subcqp0=[word+=+'%C3%A4n'+%25c+%26+pos+=+'KN']+[msd+=+'.*SUB.*'+%26+(lex+contains+'jag%5C.%5C.pn%5C.1'+%7C+lex+contains+'du%5C.%5C.pn%5C.1'+%7C+lex+contains+'han%5C.%5C.pn%5C.1'+%7C+lex+contains+'hon%5C.%5C.pn%5C.1'+%7C+lex+contains+'vi%5C.%5C.pn%5C.1'+%7C+lex+contains+'ni%5C.%5C.pn%5C.1')]&subcqp1=[word+=+'%C3%A4n'+%25c+%26+pos+=+'KN']+[msd+=+'.*OBJ.*'+%26+(lex+contains+'jag%5C.%5C.pn%5C.1'+%7C+lex+contains+'du%5C.%5C.pn%5C.1'+%7C+lex+contains+'han%5C.%5C.pn%5C.1'+%7C+lex+contains+'hon%5C.%5C.pn%5C.1'+%7C+lex+contains+'vi%5C.%5C.pn%5C.1'+%7C+lex+contains+'ni%5C.%5C.pn%5C.1')]
krya	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([word+=+'krya'+%26+msd+=+'.*IMP.*'+%25c]+[word+=+'p%C3%A5'+%25c]+[(lex+contains+'du%5C.%5C.pn%5C.1'+%7C+lex+contains+'ni%5C.%5C.pn%5C.1')])+%7C+([word+=+'krya'+%26+msd+=+'.*IMP.*'+%25c]+[word+=+'p%C3%A5'+%25c]+[(lex+contains+'han%5C.%5C.pn%5C.1'+%7C+lex+contains+'hon%5C.%5C.pn%5C.1'+%7C+lex+contains+'de%5C.%5C.pn%5C.1'+%7C+lex+contains+'son%5C.%5C.nn%5C.1'+%7C+lex+contains+'dotter%5C.%5C.nn%5C.1')]))&corpus=flashback-dator&subcqp0=[word+=+'krya'+%26+msd+=+'.*IMP.*'+%25c]+[word+=+'p%C3%A5'+%25c]+[(lex+contains+'du%5C.%5C.pn%5C.1'+%7C+lex+contains+'ni%5C.%5C.pn%5C.1')]&subcqp1=[word+=+'krya'+%26+msd+=+'.*IMP.*'+%25c]+[word+=+'p%C3%A5'+%25c]+[(lex+contains+'han%5C.%5C.pn%5C.1'+%7C+lex+contains+'hon%5C.%5C.pn%5C.1'+%7C+lex+contains+'de%5C.%5C.pn%5C.1'+%7C+lex+contains+'son%5C.%5C.nn%5C.1'+%7C+lex+contains+'dotter%5C.%5C.nn%5C.1')]
pm_dm	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([(word+=+'pm:a'+%25c+%7C+word+=+'pm:ar'+%25c+%7C+word+=+'pm:ade'+%25c+%7C+word+=+'pm:at'+%25c+%7C+word+=+'pm:as'+%25c+%7C+word+=+'pm:ades'+%25c+%7C+word+=+'pm:ats'+%25c+%7C+word+=+'pma'+%25c+%7C+word+=+'pmar'+%25c+%7C+word+=+'pmade'+%25c+%7C+word+=+'pmat'+%25c+%7C+word+=+'pmas'+%25c+%7C+word+=+'pmades'+%25c+%7C+word+=+'pmats'+%25c+)])+%7C+([(word+=+'dm:a'+%25c+%7C+word+=+'dm:ar'+%25c+%7C+word+=+'dm:ade'+%25c+%7C+word+=+'dm:at'+%25c+%7C+word+=+'dm:as'+%25c+%7C+word+=+'dm:ades'+%25c+%7C+word+=+'dm:ats'+%25c+%7C+word+=+'dma'+%25c+%7C+word+=+'dmar'+%25c+%7C+word+=+'dmade'+%25c+%7C+word+=+'dmat'+%25c+%7C+word+=+'dmas'+%25c+%7C+word+=+'dmades'+%25c+%7C+word+=+'dmats'+%25c+)]))&corpus=flashback-dator&subcqp0=[(word+=+'pm:a'+%25c+%7C+word+=+'pm:ar'+%25c+%7C+word+=+'pm:ade'+%25c+%7C+word+=+'pm:at'+%25c+%7C+word+=+'pm:as'+%25c+%7C+word+=+'pm:ades'+%25c+%7C+word+=+'pm:ats'+%25c+%7C+word+=+'pma'+%25c+%7C+word+=+'pmar'+%25c+%7C+word+=+'pmade'+%25c+%7C+word+=+'pmat'+%25c+%7C+word+=+'pmas'+%25c+%7C+word+=+'pmades'+%25c+%7C+word+=+'pmats'+%25c+)]&subcqp1=[(word+=+'dm:a'+%25c+%7C+word+=+'dm:ar'+%25c+%7C+word+=+'dm:ade'+%25c+%7C+word+=+'dm:at'+%25c+%7C+word+=+'dm:as'+%25c+%7C+word+=+'dm:ades'+%25c+%7C+word+=+'dm:ats'+%25c+%7C+word+=+'dma'+%25c+%7C+word+=+'dmar'+%25c+%7C+word+=+'dmade'+%25c+%7C+word+=+'dmat'+%25c+%7C+word+=+'dmas'+%25c+%7C+word+=+'dmades'+%25c+%7C+word+=+'dmats'+%25c+)]
krya	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([word+=+'krya'+%26+msd+=+'.*IMP.*'+%25c]+[word+=+'p%C3%A5'+%25c]+[(lex+contains+'du%5C.%5C.pn%5C.1'+%7C+lex+contains+'ni%5C.%5C.pn%5C.1')])+%7C+([word+=+'krya'+%26+msd+=+'.*IMP.*'+%25c]+[word+=+'p%C3%A5'+%25c]+[(lex+contains+'han%5C.%5C.pn%5C.1'+%7C+lex+contains+'hon%5C.%5C.pn%5C.1'+%7C+lex+contains+'de%5C.%5C.pn%5C.1'+%7C+lex+contains+'son%5C.%5C.nn%5C.1'+%7C+lex+contains+'dotter%5C.%5C.nn%5C.1')]))&corpus=flashback-dator&subcqp0=[word+=+'krya'+%26+msd+=+'.*IMP.*'+%25c]+[word+=+'p%C3%A5'+%25c]+[(lex+contains+'du%5C.%5C.pn%5C.1'+%7C+lex+contains+'ni%5C.%5C.pn%5C.1')]&subcqp1=[word+=+'krya'+%26+msd+=+'.*IMP.*'+%25c]+[word+=+'p%C3%A5'+%25c]+[(lex+contains+'han%5C.%5C.pn%5C.1'+%7C+lex+contains+'hon%5C.%5C.pn%5C.1'+%7C+lex+contains+'de%5C.%5C.pn%5C.1'+%7C+lex+contains+'son%5C.%5C.nn%5C.1'+%7C+lex+contains+'dotter%5C.%5C.nn%5C.1')]
ss_eftersom_att	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([word+=+'eftersom'+%25c]+[word+!=+'att'+%25c])+%7C+([word+=+'eftersom'+%25c]+[word+=+'att'+%25c]))&corpus=flashback-dator&subcqp0=[word+=+'eftersom'+%25c]+[word+!=+'att'+%25c]&subcqp1=[word+=+'eftersom'+%25c]+[word+=+'att'+%25c]
styv_bonus	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([word+=+'styv.*'+%25c+%26+(word+=+'.*familj.*'+%25c+%7C+word+=+'.*far.*'+%25c+%7C+word+=+'.*mor.*'+%25c+%7C+word+=+'.*papp.*'+%25c+%7C+word+=+'.*mamm.*'+%25c+%7C+word+=+'.*bror.*'+%25c+%7C+word+=+'.*syst.*'+%25c+%7C+word+=+'.*syskon.*'+%25c+%7C+word+=+'.*dott.*'+%25c+%7C+word+=+'.*son.*'+%25c+%7C+word+=+'.*barn.*'+%25c)])+%7C+([word+=+'bonus.*'+%25c+%26+(word+=+'.*familj.*'+%25c%7C+word+=+'.*far.*'+%25c+%7C+word+=+'.*mor.*'+%25c+%7C+word+=+'.*papp.*'+%25c+%7C+word+=+'.*mamm.*'+%25c+%7C+word+=+'.*bror.*'+%25c+%7C+word+=+'.*syst.*'+%25c+%7C+word+=+'.*syskon.*'+%25c+%7C+word+=+'.*dott.*'+%25c+%7C+word+=+'.*son.*'+%25c+%7C+word+=+'.*barn.*'+%25c)]))&corpus=flashback-dator&subcqp0=[word+=+'styv.*'+%25c+%26+(word+=+'.*familj.*'+%25c+%7C+word+=+'.*far.*'+%25c+%7C+word+=+'.*mor.*'+%25c+%7C+word+=+'.*papp.*'+%25c+%7C+word+=+'.*mamm.*'+%25c+%7C+word+=+'.*bror.*'+%25c+%7C+word+=+'.*syst.*'+%25c+%7C+word+=+'.*syskon.*'+%25c+%7C+word+=+'.*dott.*'+%25c+%7C+word+=+'.*son.*'+%25c+%7C+word+=+'.*barn.*'+%25c)]&subcqp1=[word+=+'bonus.*'+%25c+%26+(word+=+'.*familj.*'+%25c%7C+word+=+'.*far.*'+%25c+%7C+word+=+'.*mor.*'+%25c+%7C+word+=+'.*papp.*'+%25c+%7C+word+=+'.*mamm.*'+%25c+%7C+word+=+'.*bror.*'+%25c+%7C+word+=+'.*syst.*'+%25c+%7C+word+=+'.*syskon.*'+%25c+%7C+word+=+'.*dott.*'+%25c+%7C+word+=+'.*son.*'+%25c+%7C+word+=+'.*barn.*'+%25c)]
ndes	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([word+=+'.*nde'+%25c+%26+msd+=+'.*PRS.*'+%26+pos+=+'PC'])+%7C+([word+=+'.*ndes'+%25c+%26+msd+=+'.*PRS.*'+%26+pos+=+'VB']))&corpus=flashback-dator&subcqp0=[word+=+'.*nde'+%25c+%26+msd+=+'.*PRS.*'+%26+pos+=+'PC']&subcqp1=[word+=+'.*ndes'+%25c+%26+msd+=+'.*PRS.*'+%26+pos+=+'VB']
kommer_att0	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([word+=+'kommer'+%25c]+[word+=+'att'+%25c]+[pos+=+'VB'+%26+msd+=+'.*INF.*'])+%7C+([word+=+'kommer'+%25c]+[pos+=+'VB'+%26+msd+=+'.*INF.*']))&corpus=flashback-dator&subcqp0=[word+=+'kommer'+%25c]+[word+=+'att'+%25c]+[pos+=+'VB'+%26+msd+=+'.*INF.*']&subcqp1=[word+=+'kommer'+%25c]+[pos+=+'VB'+%26+msd+=+'.*INF.*']
hen_svebe	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=(([(word+=+'hon'+%25c+)+%7C+(word+=+'han'+%25c+)+%7C+(word+=+'henne'+%25c+)+%7C+(word+=+'honom'+%25c+)])+%7C+([(word+=+'hen'+%25c+)]))&corpus=flashback-dator&subcqp0=[(word+=+'hon'+%25c+)+%7C+(word+=+'han'+%25c+)+%7C+(word+=+'henne'+%25c+)+%7C+(word+=+'honom'+%25c+)]&subcqp1=[(word+=+'hen'+%25c+)]
kommer_att_vs_ska	2	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=((([lex+contains+'skola%5C.%5C.vb%5C.2'+%26+msd+=+'.*PRS.*']+[pos+=+'VB'+%26+msd+=+'.*INF.*']))+%7C+(([lex+contains+'komma%5C.%5C.vb%5C.1'+%26+msd+=+'.*PRS.*']+[pos+=+'VB'+%26+msd+=+'.*INF.*'])+%7C+([lex+contains+'komma%5C.%5C.vb%5C.1'+%26+msd+=+'.*PRS.*']+[word+=+'att']+[pos+=+'VB'+%26+msd+=+'.*INF.*'])))&corpus=flashback-dator&subcqp0=([lex+contains+'skola%5C.%5C.vb%5C.2'+%26+msd+=+'.*PRS.*']+[pos+=+'VB'+%26+msd+=+'.*INF.*'])&subcqp1=([lex+contains+'komma%5C.%5C.vb%5C.1'+%26+msd+=+'.*PRS.*']+[pos+=+'VB'+%26+msd+=+'.*INF.*'])+%7C+([lex+contains+'komma%5C.%5C.vb%5C.1'+%26+msd+=+'.*PRS.*']+[word+=+'att']+[pos+=+'VB'+%26+msd+=+'.*INF.*'])
nyord_elsparkcykel	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'elsparkcykel'+)])&corpus=flashback-dator
nyord_elsparkcykel2	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'elsparkcyk.*'+)])&corpus=flashback-dator
nyord_blogg	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'blogg..nn.1'+)])&corpus=flashback-dator
nyord_googla	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'googla..vb.1'+)])&corpus=flashback-dator
nyord_app	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'app..nn.1'+)])&corpus=flashback-dator
nyord_covid-19,covid,covid19	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'covid'+%25c+%7C+word+=+'covid-19'+%25c+%7C+word+=+'covid19'+%25c+)])&corpus=flashback-dator
nyord_foliehatt	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'foliehatt..nn.1'+)])&corpus=flashback-dator
nyord_buda	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'buda..vb.1'+)])&corpus=flashback-dator
nyord_svininfluensa	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'svininfluensa..nn.1'+)])&corpus=flashback-dator
nyord_wiki	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'wiki..nn.1'+)])&corpus=flashback-dator
nyord_blogga	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'blogga..vb.1'+)])&corpus=flashback-dator
nyord_stalker	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'stalker..nn.1'+)])&corpus=flashback-dator
nyord_följare	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'f%C3%B6ljare'+%25c+%7C+word+=+'f%C3%B6ljaren'+%25c+%7C+word+=+'f%C3%B6ljarna'+%25c+%7C+word+=+'f%C3%B6ljares'+%25c+%7C+word+=+'f%C3%B6ljarens'+%25c+%7C+word+=+'f%C3%B6ljarnas'+%25c+)])&corpus=flashback-dator
nyord_curla	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'curla..vb.2'+)])&corpus=flashback-dator
nyord_twittra,tvittra,kvittra	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'twittra..vb.1'+%7C+lex+contains+'tvittra..vb.1'+%7C+lex+contains+'kvittra..vb.1'+)])&corpus=flashback-dator
nyord_bloggare	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'bloggare..nn.1'+)])&corpus=flashback-dator
nyord_lockdown	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'lockdown'+%25c+%7C+word+=+'lockdowns'+%25c+%7C+word+=+'lockdownen'+%25c+%7C+word+=+'lockdownens'+%25c+%7C+word+=+'lockdowner'+%25c+%7C+word+=+'lockdownerna'+%25c+%7C+word+=+'lockdownsen'+%25c+%7C+word+=+'lockdowners'+%25c+)])&corpus=flashback-dator
nyord_prio	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'prio'+%25c+)])&corpus=flashback-dator
nyord_padda	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'padda'+%25c+%7C+word+=+'paddan'+%25c+%7C+word+=+'paddor'+%25c+%7C+word+=+'paddorna'+%25c+%7C+word+=+'paddas'+%25c+%7C+word+=+'paddans'+%25c+%7C+word+=+'paddors'+%25c+%7C+word+=+'paddornas'+%25c+)])&corpus=flashback-dator
nyord_näthat	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'n%C3%A4that..nn.1'+)])&corpus=flashback-dator
nyord_Haffa	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'haffa..vb.1'+)])&corpus=flashback-dator
nyord_hypa	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'hypa..vb.1'+)])&corpus=flashback-dator
nyord_#metoo,metoo	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'metoo'+%25c+%7C+word+=+'metoos'+%25c+)])&corpus=flashback-dator
nyord_stalka	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'stalka..vb.1'+)])&corpus=flashback-dator
nyord_matkasse	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'matkasse'+%25c+%7C+word+=+'matkasses'+%25c+%7C+word+=+'matkassen'+%25c+%7C+word+=+'matkassens'+%25c+%7C+word+=+'matkassar'+%25c+%7C+word+=+'matkassars'+%25c+%7C+word+=+'matkassarna'+%25c+%7C+word+=+'matkassarnas'+%25c+)])&corpus=flashback-dator
nyord_menskopp	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'menskopp'+%25c+%7C+word+=+'menskopps'+%25c+%7C+word+=+'menskoppen'+%25c+%7C+word+=+'menskoppens'+%25c+%7C+word+=+'menskoppar'+%25c+%7C+word+=+'menskoppars'+%25c+%7C+word+=+'menskopparna'+%25c+%7C+word+=+'menskopparnas'+%25c+)])&corpus=flashback-dator
nyord_sprita	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'sprita..vb.3'+)])&corpus=flashback-dator
nyord_fronta	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(lex+contains+'fronta..vb.1'+)])&corpus=flashback-dator
nyord_vaccinpass	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'vaccinpass'+%25c+%7C+word+=+'vaccinpasset'+%25c+%7C+word+=+'vaccinpassets'+%25c+%7C+word+=+'vaccinpassen'+%25c+%7C+word+=+'vaccinpassens'+%25c+)])&corpus=flashback-dator
nyord_incel	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'incel'+%25c+%7C+word+=+'incelen'+%25c+%7C+word+=+'inceln'+%25c+%7C+word+=+'inceler'+%25c+%7C+word+=+'incelerna'+%25c+%7C+word+=+'incels'+%25c+%7C+word+=+'inselsen'+%25c+%7C+word+=+'incell'+%25c+%7C+word+=+'incellen'+%25c+%7C+word+=+'inceller'+%25c+%7C+word+=+'incellerna'+%25c+%7C+word+=+'incells'+%25c+%7C+word+=+'incellsen'+%25c+)])&corpus=flashback-dator
nyord_brexit	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'brexit'+%25c+)])&corpus=flashback-dator
nyord_anime	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'anime'+%25c+)])&corpus=flashback-dator
nyord_barnvagnsbio,babybio,bebisbio,spädbarnsbio	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'babybio'+%25c+%7C+word+=+'babybion'+%25c+%7C+word+=+'babybios'+%25c+%7C+word+=+'babybions'+%25c+%7C+word+=+'bebisbio'+%25c+%7C+word+=+'bebisbion'+%25c+%7C+word+=+'bebisbios'+%25c+%7C+word+=+'bebisbions'+%25c+%7C+word+=+'barnvagnsbio'+%25c+%7C+word+=+'barnvagnsbios'+%25c+%7C+word+=+'barnvagnsbion'+%25c+%7C+word+=+'barnvagnsbions'+%25c+)])&corpus=flashback-dator
nyord_åsiktskorridor	1	https://ws.spraakbanken.gu.se/ws/korp/v8/count_time?cqp=([(word+=+'%C3%A5siktskorridor'+%25c+%7C+word+=+'%C3%A5siktskorridoren'+%25c+%7C+word+=+'%C3%A5siktskorridorn'+%25c+%7C+word+=+'%C3%A5siktskorridors'+%25c+%7C+word+=+'%C3%A5siktskorridorens'+%25c+%7C+word+=+'%C3%A5siktskorridorns'+%25c+%7C+word+=+'%C3%A5siktskorridorer'+%25c+%7C+word+=+'%C3%A5siktskorridorerna'+%25c+%7C+word+=+'%C3%A5siktskorridorers'+%25c+%7C+word+=+'%C3%A5siktskorridorernas'+%25c+)])&corpus=flashback-dator
